llm,domain,shot,num_runs,error_type,total_bad_rows,avg_bad_rows_per_run,bad_rows_pct_of_total,bad_rows_pct_of_bad,total_rows_combo,total_bad_rows_combo,bad_rows_pct_combo,avg_bad_rows_pct_per_run
llama-3.1-8b-instruct,lending,few,3,empty_line,65,21.666666666666668,2.067430025445293,60.18518518518518,3144,108,3.435114503816794,1.1450381679389314
llama-3.1-8b-instruct,lending,few,3,too_many_fields,43,14.333333333333334,1.3676844783715014,39.81481481481482,3144,108,3.435114503816794,1.1450381679389314
llama-3.1-8b-instruct,lending,one,3,empty_line,465,155.0,13.244090002848191,83.63309352517986,3511,556,15.83594417544859,5.2786480584828634
llama-3.1-8b-instruct,lending,one,3,too_many_fields,91,30.333333333333332,2.5918541726003985,16.366906474820144,3511,556,15.83594417544859,5.2786480584828634
llama-3.1-8b-instruct,lending,zero,3,empty_line,326,108.66666666666667,9.644970414201183,89.31506849315069,3380,365,10.798816568047338,3.5996055226824457
llama-3.1-8b-instruct,lending,zero,3,too_many_fields,39,13.0,1.153846153846154,10.684931506849315,3380,365,10.798816568047338,3.5996055226824457
qwen3-coder-30b-a3b-instruct,hatecrime,few,3,too_many_fields,26,8.666666666666666,0.8368200836820083,100.0,3107,26,0.8368200836820083,0.2789400278940028
qwen3-coder-30b-a3b-instruct,hatecrime,one,3,empty_line,1,0.3333333333333333,0.032030749519538756,1.2658227848101267,3122,79,2.530429212043562,0.8434764040145207
qwen3-coder-30b-a3b-instruct,hatecrime,one,3,too_many_fields,78,26.0,2.498398462524023,98.73417721518987,3122,79,2.530429212043562,0.8434764040145207
qwen3-coder-30b-a3b-instruct,hatecrime,zero,3,too_many_fields,59,19.666666666666668,1.8934531450577663,45.73643410852713,3116,129,4.13992297817715,1.37997432605905
qwen3-coder-30b-a3b-instruct,hatecrime,zero,3,odd_number_of_symbols,59,19.666666666666668,1.8934531450577663,45.73643410852713,3116,129,4.13992297817715,1.37997432605905
qwen3-coder-30b-a3b-instruct,hatecrime,zero,3,too_few_fields,11,3.6666666666666665,0.35301668806161746,8.527131782945736,3116,129,4.13992297817715,1.37997432605905
qwen3-coder-30b-a3b-instruct,lending,few,3,too_many_fields,1329,443.0,43.659658344283834,100.0,3044,1329,43.659658344283834,14.55321944809461
qwen3-coder-30b-a3b-instruct,lending,one,3,too_many_fields,1643,547.6666666666666,54.1529334212261,100.0,3034,1643,54.1529334212261,18.050977807075366
qwen3-coder-30b-a3b-instruct,lending,zero,3,too_many_fields,1082,360.6666666666667,35.32484492327783,99.90766389658357,3063,1083,35.35749265426053,11.78583088475351
qwen3-coder-30b-a3b-instruct,lending,zero,3,empty_line,1,0.3333333333333333,0.0326477309826967,0.09233610341643582,3063,1083,35.35749265426053,11.78583088475351
